20	0	a	sharjeel imam held in bihar set to be brought back
99	0	a	another case filed under new triple talaq law in thane
91	1	a	lock upp anjali arora opens up about her bond with winner munawar faruqui calls it super special
150	1	a	rejection of savarkar resolution devendra fadnavis slams shiv sena
130	1	a	the man behind samsung cameras explains how galaxy s series achieves its camera success
64	1	a	president s rule in maharashtra was revoked at am
123	1	a	market highlights sensex rallies points nifty ends at led by banks auto and metals stocks
138	0	a	punjab congress protests against hike in fuel prices three farm laws
28	1	a	truecaller launches covid hospital directory here s how it works
117	1	a	bjp to hold virtual rallies conferences to mark year of modi govt
81	0	a	markets could have been delinked from economy for a while but not for months don t think it will crash nilesh shah
74	0	a	nirbhaya case of convicted to plead before supreme court today
126	0	a	mumbai bangladeshis others held by ats in passport racket
22	0	a	curtains down on era of superstars how the pandemic levelled playing field
172	0	a	coimbatore college students snatch gold chains to pay semester fees
72	1	a	oscar winning actor william hurt dies
61	1	a	stranger things season trailer it s war and this time with a new terrifying enemy from the upside down
137	0	a	three held for cheating woman of over rs lakh
113	1	a	platforms to help you track covid cases besides aarogya setu
83	1	a	beast thalapathy vijay pooja hegde s fans across the world celebrate success of film with firecrackers
32	0	a	fake ransom seeking email scam prowling in indian cyberspace
54	0	a	pune us woman slaps doctor police write to special branch for action
37	1	a	madhavan praises saif ali khan s look in vikram vedha remake awesome look
112	1	a	after the batman a ranking of every live action bruce wayne who s the best among ben affleck christian bale robert pattinson
58	0	a	heroin at attari chargesheet filed
14	1	a	from college to assembly via police stations the bloody run of an ayodhya clash
92	1	a	johnny depp testifies amber heard attacked him says he never hit back
60	0	a	toddler crawls on to road dies after getting hit by car
49	0	a	arrested man bails on police escapes custody on road from delhi to doon
25	1	a	i tried apple s universal control feature for mac and ipad and it s just magical
97	1	a	the kashmir files completes days in theatres vivek agnihotri calls it a people s film
39	1	a	doctor strange in the multiverse of madness becomes biggest hollywood opener of with cr
170	1	a	telegram update brings new chat themes interactive emojis and more
75	0	a	hyderabad vet rape murder case sc grants more months to inquiry panel to file report
197	0	a	missing bjp leader s body found in pit after days in up s fatehpur
161	0	a	war on drugs in the northeast
68	1	a	is that bigg boss fame mahira sharma s photo in bts rm s profile army disagrees
128	0	a	delhi man killed over breaking bus windshield
93	1	a	rubina dilaik is first confirmed contestant of rohit shetty s khatron ke khiladi
0	1	a	rishi kapoor s last film sharmaji namkeen to release on prime video makers call it a tribute to his charm
103	1	a	eternals director chlo zhao reacts to divisive reviews to mcu film suggests pandemic had something to do with it everyone was having an existential crisis
107	1	a	never questioned scientists akhilesh yadav clarifies his bjp vaccine remark
1	0	a	from state police win union home minister s medal
18	1	a	explained why putin faces more nato in the arctic after ukraine invasion
35	1	a	i didn t sit on tagore s chair but nehru rajiv gandhi did shah rejects congress claim
69	0	a	sc gives month extension to panel probing hyderabad encounter
21	0	a	india has many human rights issues several instances of violence against journalists critical of govt us report
82	0	a	i am sure the only way from here is forward says mahi goswami on her struggles and aspirations
34	1	a	ukraine crisis has its roots in post soviet politics jaishankar
119	1	a	jharkhand jolt fadnavis for new strategy against joint opposition
62	0	a	up burglars break open atm flee with rs lakh in bulandshahr
48	0	a	mentally ill woman gangraped in kolkata
76	1	a	april forty years ago
116	1	a	twitter safety mode feature to roll out soon here s what it does
6	1	a	junior hockey world cup goalkeeper bichu shows promise as future custodian of india s hopes
71	0	a	tv actor replicates reel crimes to real held for card theft in mumbai
84	1	a	arif mohammad khan i m opposed to minority commissions rather strengthen the human rights panel that can take care of everybody
15	1	a	francis ford coppola says marlon brando wasn t difficult to work with you didn t talk to him about acting
114	0	a	chandigarh tattoo artist manager held for keeping monkey in captivity booked
153	0	a	vizag cops nab gang of recover cash gold and two wheelers
124	1	a	their shakha vs our shakha aap to take rashtrawad battle against rss to maidans mohallas in up
184	1	a	explained sensex up points why are stock markets bouncing back
108	0	a	man held for raping attempting to kill year old woman in goa
12	1	a	oscars lata mangeshkar dilip kumar left out of in memoriam segment during th academy awards
115	0	a	haryana man loses rs lakh to american dream
55	1	a	father s day tech gifting ideas for your dad
104	0	a	spike in public trust offers room to reimagine people police compact
44	1	a	we will not let bjp and rss overrun assamese culture with caa says rahul gandhi
120	0	a	mp told to pay for cigarettes beat shopkeeper to death in shahdol
