User,Tweet,Unnamed: 0,Date
NewsX,"#SheenaBora murder case: Peter, driver may have kidnapped Sheena, alleges Indrani 
https://t.co/uD1yiVkw9l",,
NewsX,"#Bengaluru: Dead body of kidnapped I-T official son recovered from a lake
https://t.co/4ZvA393xnF",,
NewsX,#Bengaluru: Kidnapped 19-year-old son of I-T officer found dead in a lake https://t.co/WpgAm1wxuk,,
NewsX,#Bengaluru: I-T officer's son kidnapped; abductors demand Rs 50 lakh as ransom https://t.co/WK2rc61qGy,,
NewsX,"Local #Gurugram ‘hero’ foils kidnapping bid with #Facebook LIVE
@cmohry @mlkhattar @gurgaonpolice @CMOfficeUP https://t.co/rN6yeES5Wt",,
NewsX,"Done no wrong in #Malayalam actress kidnapping case, says #Kerala MLA
https://t.co/AA8xmPFXBF",,
NewsX,Tripura: Villagers protested against alleged kidnapping of a woman &amp; demanded she be rescued in Bodhjungnagar; vehicles &amp; offices burnt https://t.co/O1CB7jNepW,,
NewsX,5-year-old boy kidnapped in UP's #Etah. Police begin investigation,,
NewsX,"TV journalist Salvador Adame Pardo kidnapped in western #Mexico
https://t.co/etlwKRqQl9",,
NewsX,"#Haryana: Gurgaon girl kidnapped and gang-raped in moving car; later abandoned in Delhi
https://t.co/nN3Er2HTQ6",,
NewsX,"Young Army officer on leave kidnapped from hometown, body riddled with bullets found. #Insight with @nehakhanna_07
https://t.co/wmTwuKFyFe",,
NewsX,#PakKidnapPlot: Indian citizen Dr Uzma claims being kidnapped by Pak https://t.co/sMIw0ERj4c,,
NewsX,"#FARC urges for freedom of kidnapped #UN official
@UN 
https://t.co/FlU3XsVHU7",,
NewsX,"#Bulandshahr: Muslim man murdered over alleged kidnapping of Hindu girl
@Uppolice @myogiadityanath 
https://t.co/C5002jRxcP",,
NewsX,Just In | Noida: 21-yr-old student of private university allegedly raped in car after being kidnapped.,,
NewsX,"#KulbhushanJadhav was kidnapped and taken to Pak: MEA
#JusticeForJadhav https://t.co/8u7yD5WhOl",,
NewsX,"#Karnataka: 5-year-old kidnapped from KIMS hospital, police releases CCTV footage https://t.co/nK9seaOK08",,
NewsX,"Diabolical #PakHostagePlot — Kidnapped, coerced then lied. India rescues clerics from ISI. Watch #NationAt9 #NewsX
https://t.co/0Il3dvZfoI",,
NewsX,"Diabolical #PakHostagePlot — Kidnapped, coerced then lied. India rescues clerics from ISI. Watch #NationAt9 over #PakHostagePlot #NewsX https://t.co/FyQnC370QJ",,
NewsX,"Diabolical #PakHostagePlot — Kidnapped, coerced then lied. India rescues clerics from ISI. Tune into #NewsX at 7:30 PM over #PakHostagePlot",,
NewsX,"Malayalam actress abduction: No conspiracy behind kidnapping, says #Kerala CM; #Congress, #BJP cry foul
https://t.co/VOeLcn3C1u",,
NewsX,"Juvenile held in #Delhi for kidnapping employer's son
@DelhiPolice
https://t.co/Yi0n6ibxJL",,
NewsX,"Malayalam actress kidnapping case: Two more arrested by #Kerala Police
https://t.co/2umAtlaIjs",,
NewsX,"Malayalam actress #Bhavana kidnapped, released; driver arrested

https://t.co/yAf6CL6FEB",,
NewsX,#BREAKING — Girl kidnapped and raped at gunpoint in Panchkula https://t.co/mybRQkL7g3,,
NewsX,"Girl kidnapped, gang-raped by 5 men in #Jhunjhunu district of #Rajasthan
https://t.co/DktZtsEHmb",,
NewsX,"Kidnapped tribals found shot dead in #Manipur
https://t.co/tf10RHml3v",,
NewsX,"#FailingNirbhaya: Actors roped in to enact a kidnapping scene. Girl’s screams go unheard, nobody comes to rescue. Tune in to NewsX @8pm https://t.co/slvFCSZpXv",,
NewsX,Najeeb 'kidnapping' issue: JNU students protest march https://t.co/rJHrSS69Mz,,
NewsX,".@BJP4India leader Ratnaswer Moran's son kidnapped by ULFA.
https://t.co/giWrUqwJHs",,
NewsX,People in Balochistan are kidnapped and then butchered: @hammalhaidar. #IndiaCornersPak,,
NewsX,I will take this up with Foreign Minister of Bahrain: EAM @SushmaSwaraj on 5-year old Indian girl #kidnapped in #Bahrain. (ANI),,
NewsX,"7 year old boy kidnapped from school bus in Katihar in #Bihar. Family registers complaint, police begin investigation (ANI)",,
NewsX,"Three arrested in #Haryana cop kidnapping
https://t.co/qfVwqdu9qw",,
NewsX,"Al-Qaida chief Ayman al-Zawahiri has urged kidnapping of Westerners for prisoner swaps.
https://t.co/DnTCwzka7Y",,
NewsX,".@SushmaSwaraj meets #JudithDSouza, who was kidnapped in #Kabul last month https://t.co/HOwUfGFsr1",,
NewsX,"Kolkata's Judith D'Souza rescued; was kidnapped in Kabul last month
@SushmaSwaraj
https://t.co/Vveo85zRQQ",,
NewsX,Kolkata's Judith D Souza had been kidnapped in Kabul last month. (2/2),,
NewsX,"Handibag comits suicide after he was suspended over involvement in a kidnapping case
https://t.co/bPoNIrDpm2",,
NewsX,Deputy SP Kalappa Handibag committed suicide after he was suspended over involvement in a kidnapping case https://t.co/bjPZKIuW8X,,
NewsX,2 Indians kidnapped in #Nigeria https://t.co/VrlUefJuUk,,
NewsX,#SonuReturns: Kidnapped #Indian boy Sonu returns home after 6years https://t.co/XH1tlTKHiE,,
NewsX,"Indian national, #NGO worker, kidnapped in #Kabul city
https://t.co/B28sA6eH2P",,
NewsX,#Indian who worked in international #NGO kidnapped in #Kabul,,
NewsX,"Daylight #kidnapping in #Patna captured on CCTV camera
https://t.co/NI5jPjK5Vd",,
NewsX,"Boy kidnapped in broad daylight from #Patna, Bihar. https://t.co/SHNacYj84f",,
NewsX,"Kidnapped #football star Alan Pulido rescued by Mexican authorities
@puliidooo @olympiacos_org
https://t.co/3cLMXdHKzf",,
NewsX,#BiharJungleRaj: Journalist Hemant Thakur kidnapped and threatened by a contractor; rescued by police.  https://t.co/ZGYZd7HpCZ,,
NewsX,"Kidnapping caught on camera, attempt made to abduct child. Parents nab 2 culprits; Cops lodge FIR against kidnappers https://t.co/PYQ8gGjfxE",,
NewsX,"Kidnapping caught on camera, daylight abduction in NCR. Are criminals getting more brazen? Call us and speak out @ 0120-4369674",,
NewsX,"Daylight kidnapping in Noida caught on camera, FIR lodged
https://t.co/fQfeUfDM8H https://t.co/E0jzLUtAoC",,
NewsX,Kidnapping caught on camera in the NCR  https://t.co/TpIIhkCY6n,,
NewsX,"#IndiaWakeUp: 24-year-old kidnapped, dragged, raped as many watched in broad daylight.
Read:https://t.co/6CkSKost4o",,
NewsX,"Hyderabad Shocker: Minor's abduction caught on camera.15 year old kidnapped, then killed.  https://t.co/BzvTt9Ymhj",,
NewsX,"Agra trader's 6-year old son kidnapped seven days ago, found near Tajganj.  https://t.co/AXJyIOzcHr",,
NewsX,"As per her statements, it doesn't seem to be case of kidnapping. Our team has left for verification of her statement: Lakshmi Singh - DIG",,
NewsX,Minor girl raped and kidnapped in Bihar. BJP workers stage protest in Bihar. Protesters stop trains in Bihar. https://t.co/TJMVZsNtFP,,
NewsX,"Snapdeal employee kidnapped in Ghaziabad; no leads yet
Read: https://t.co/qeoYZt0FZ1",,
NewsX,#NetasMockIndia: Case filed against Bihar @INCIndia MLA Siddharth for kidnapping minor girl. https://t.co/AOsGHDHeNl,,
NewsX,#NetasMockIndia: Case filed against Bihar @INCIndia MLA Siddharth for kidnapping minor girl. https://t.co/8jEQ0KQkGR,,
NewsX,#NetasMockIndia: Case filed against Bihar @INCIndia MLA Siddharth for kidnapping. https://t.co/dnUfC79WNS,,
NewsX,"#NetasMockIndia: Case filed against Bihar @INCIndia MLA Siddharth for kidnapping. MLA accused of stalking, harassment &amp; abduction. 1/n",,
NewsX,"Bihar: Case of kidnapping has been lodged against @INCIndia MLA from Bikram, Siddharth Singh in Masaurhi Police station in Patna. 1/n",,
NewsX,"#MakePakPay: When SP was kidnapped, we could have used dogs to trace the terrorists: @GeneralBakshi, Editor, IMR. https://t.co/jvQlFP4WC2",,
NewsX,#BetiBachao: College Girl kidnapped from Gurgaon has been rescued. https://t.co/PuEGQvzRJ8,,
NewsX,Gurgaon Kidnapping: How is an unmarked car even plying on the road? https://t.co/Az8py3eePp,,
NewsX,Gurgaon Kidnapping: Girl abducted in broad daylight. Do you feel safe after watching this. Call us on 0120-4369674.,,
NewsX,Gurgaon Kidnapping: Eyewitness: 4 people were in the car.,,
NewsX,"Gurgaon Kidnapping: Girl abducted in broad daylight. Do you feel safe after watching this? Call us now 0120-4369674, engage with #NewsX",,
NewsX,"Eyewitness: 'Girl was dragged inside the car, 4 people pulled her in'. Girl kidnapped from outside Dronacharya College in Gurgaon at 9:30 am",,
NewsX,Gurgaon Kidnapping: 19 year old girl kidnapped from outside Dronacharya College in Gurgaon. https://t.co/aFTFgRVNPN,,
NewsX,"Kidnapped #Meghalaya official released unharmed
https://t.co/LWR3W2ToSP 
#GNLA https://t.co/BoJGL7N2sT",,
NewsX,PM @narendramodi: 'Kidnapping was the biggest industry under 'Jungle Raj'.' #BattleForBihar #Samastipur,,
NewsX,PM @narendramodi: 'Kidnapping was the biggest industry under 'Jungle Raj'.' #BattleForBihar,,
NewsX,"Caught on Camera: 3-day old kidnapped from #Bengaluru 's hospital
http://t.co/6vz9L1wcJz http://t.co/evQeX2RiQr",,
NewsX,"Delhi woman kidnapped in Meru cab, gang-raped
http://t.co/u6FjMHySwI http://t.co/mAd6lxqQqG",,
NewsX,"One of two kidnapped Indians in Libya escapes
http://t.co/4AYSALANhM http://t.co/KBhKJxNztK",,
NewsX,"#Indians kidnapped by #IS fine, says freed captive
http://t.co/DcPCNIZgzg http://t.co/sfeG6La5BI",,
NewsX,#Bihar JD-U legislator Anant Singh was detained for questioning after a case of kidnapping and murder was lodged against him.,,
NewsX,"2 minor sisters kidnapped and gangraped in Badaun
http://t.co/JFLmPwDw7k",,
NewsX,Woman has been caught on camera kidnapping a 7 year old baby from Central #Mumbai; Police released sketch of kidnapper.,,
NewsX,#Islamabad Court grants bail to 26/11 mastermind #ZakiurRehmanLakhvi in a 6 year old kidnapping case.,,
NewsX,"Body of kidnapped Sarpanch found in Sopore, #JammuAndKashmir
http://t.co/hFW1LxSyBY",,
NewsX,"The body of the National Conference Sarpanch, who was kidnapped by terrorists yesterday from #Sopore in #JammuAndKashmir, has been found.",,
NewsX,Officials were #Kidnapped around  4 PM by #Naxalites from Roro's Asbestos Mines.,,
NewsX,#NewsXCampaign: #Delhi police #Clueless after 72 hrs of 3-yr-old got #Kidnapped . Join #NewsX now for latest updates.,,
NewsX,#CapitalCrime: #Girl child #kidnapped despite heavy #police presence. Watch #NewsX now.,,
NewsX,#CapitalCrime: #DelhiPolice clueless after 48 Hrs of 3-yrs old got #kidnapped. Watch #NewsX now.,,
NewsX,"#CapitalCrime:48 hours after 3-year old girl child was kidnapped from #Delhi's India Gate,police have still not found any trace of the child",,
NewsX,Breaking on #NewsX: 3-year-old girl was allegedly kidnapped from #IndiaGate lawns where she was playing with a few children on Sunday night.,,
NewsX,"3-year-old girl kidnapped at India Gate 
http://t.co/61sKyMtykA",,
NewsX,#Unacceptable: Baby kidnapped from Truneveli hospital,,
NewsX,#Unacceptable: Infant kidnapped by unidentified woman,,
NewsX,"#US journalist returns home after Syria kidnapping

http://t.co/WbuZU0FQdK http://t.co/EfRAvaTklm",,
NewsX,"Caught in camera: Baby kidnapped from labour room of KLE hospital 
http://t.co/GBoGqja5Ob",,
NewsX,"Two minor sisters go missing in Thane; police suspect kidnapping 

http://t.co/dhHnTO0rWn http://t.co/shbLMuNSeI",,
NewsX,"13 year old girl kidnapped and gangraped, alleges mother  http://t.co/Rr9KSUxHsm http://t.co/04aBSJtcOu",,
NewsX,"Syed Akbaruddin: Forty Indians trapped in Mosul kidnapped 
http://t.co/HJ7R6T3Ov3",,
NewsX,"40 Indians kidnapped in Iraq's Mosul 
http://t.co/IzenzeCg0h",,
NewsX,"Kidnapped Indian released in Sudan 
http://t.co/Nj4OJYqYNA",,
NewsX,"17-yr old girl kidnapped, raped in Haryana  http://t.co/wjBwZAMLLR",,
NewsX,"Afghanistan: Kidnapped Indian NGO worker traced, 12 arrested
http://t.co/GtX6QtwmE5",,
NewsX,Nigerian defense chief: We know where the kidnapped girls are says - http://t.co/qFguu6LjF6,,
NewsX,Minor girl allegedly kidnapped and gang-raped in Surat - A 16-year-old married girl was allegedly kept... http://t.co/SDL8rtvIeY,,
NewsX,Youth gets 10-year jail for kidnapping and raping 3-year-old girl http://t.co/XN3RoAkims,,
NewsX,A 20-year-old youth has been jailed for 10 years for #kidnapping and raping a three-year-old girl by a #Delhi... http://t.co/VtOC7PvZEK,,
NewsX,Youth gets 10-year jail for kidnapping and raping 3-year-old girl - A 20-year-old youth has been jailed for... http://t.co/AUhwdAPqg4,,
NewsX,Suspected Kuki #militants have allegedly kidnapped two labourers for not getting money from their contractor from... http://t.co/sL49uPHDLA,,
NewsX,#Bihar chief minister #Nitish Kumar has ordered an inquiry into a case involving the kidnapping of a Surat-based... http://t.co/YIAiFmDSke,,
NewsX,11 anti-polio volunteers kidnapped in Pakistan - FeaturedIslamabad/Peshawar: Eleven teachers involved in an anti-p... http://t.co/4wYEbYFw0L,,
NewsX,"A two-and-half year old boy kidnapped from the city on November 2 for ransom was rescued and his abductors,... http://t.co/SU0upiFBFk",,
NewsX,Kidnapping charges slapped on Yoga guru Baba Ramdev's brother - NewsX http://t.co/dBVVELH61C,,
NewsX,"Kidnapping and Assault Case : Conspiracy by Congress to defame me, says Baba Ramdev - NewsX http://t.co/8h7dfaHcOq",,
NewsX,Baba Ramdev in fresh trouble as brother accused of kidnapping and assault - NewsX,,
NewsX,Baba Ramdev in fresh trouble as brother accused of kidnapping and assault - NewsX http://t.co/cmq4NR3id2,,
NewsX,A local court here today awarded double life imprisonment to a person for kidnapping and murdering... http://t.co/Bwcs27Mz4I,,
NewsX,A man has been sentenced to three years in jail by a Delhi court for evading arrest since 2006 in a kidnapping... http://t.co/BICT0JNxh1,,
NewsX,Protesting strongly against the kidnapping of Indian fisherman by Pakistani Maritime Security Agency (PMSA) on... http://t.co/qXEbbKIY8N,,
NewsX,NewsX : 16 year old girl kidnapped and brutally gangraped for 2 days in Jammu's Rajouri District http://t.co/YTdFEzQGNO,,
NewsX,"An Indian fisherman was killed and 30 others were allegedly kidnapped by Pakistani Maritime Security Agency,... http://t.co/eVpK1bJfMZ",,
NewsX,"News X: Accused of Murder, dacoity and kidnapping, Raja Bhaiya to be bought back in UP Cabinet http://t.co/pXS1eVtfqI",,
NewsX,Libyan Prime Minister Ali Zidan was released hours after the government said he was kidnapped earlier in the day... http://t.co/kbHDaCi1yk,,
NewsX,NewsX : Libyan prime minister kidnapped at gunpoint from his residence http://t.co/gkW77PbQAi,,
NewsX,China's state media say police have rescued 92 children and two women who were kidnapped to be sold by a human... http://t.co/TX1f700n3m,,
NewsX,"News X: Women shot dead and her 3 year old son kidnapped in Mayur Vihar, Delhi http://t.co/X5zhiZ20cU",,
NewsX,"News X: Women shot dead and her 3 year old son kidnapped in Mayur Vihar, Delhi http://t.co/ljGlWlqV7a",,
NewsX,"15-year old girl kidnapped, raped in New Delhi - Delhi - Regional - News X http://t.co/Bhw2H6Z6sf",,
NewsX,News X: 7-month old infant kidnapped from DDU hospital in Hari Nagar http://t.co/kcWXMXwutI,,
NewsX,News X: 7-month old infant kidnapped from DDU hospital in Hari Nagar: http://t.co/Lf1inGYLyM via @YouTube,,
NewsX,News X: 7 month old infant kidnapped from Deen Dayal Upadhyay Hospital http://t.co/PaiI41urCt,,
NewsX,News X: 7 month old infant kidnapped from Deen Dayal Upadhyay Hospital http://t.co/Ul4GZvvuLo,,
NewsX,News X: 7 month old infant kidnapped from Deen Dayal Upadhyay Hospital: http://t.co/ftATLTMtui via @YouTube,,
NewsX,"Chhattisgarh naxal attack; senior Congress leaders killed, kidnapped - Top Stories - National - News X -... http://t.co/WvY2up3wtR",,
NewsX,"Major Maoist attack, senior Congress leaders killed, kidnapped: http://t.co/Gp5lSCkofG via @YouTube",,
NewsX,Sarabjit Singh's lawyer Owais Sheikh was kidnapped: http://t.co/hkZ1tsZN4k via @YouTube,,
NewsX,"Former Pak PM Yousuf Raja Gilani's son kidnapped

http://t.co/W4GbF9Z5QW",,
NewsX,Areva T&amp;D CEO kidnapped from Noida freed in Meerut: http://t.co/pGXK8EkfpB via @YouTube,,
NewsX,"Siblings murder case: Neighbours' hand in kidnapping, claims Police: http://t.co/5ORWE42EJo via @YouTube",,
NewsX,"UP Minor kidnapped, beaten and raped: http://t.co/1mAIUOy0 via @YouTube",,
NewsX,"Just in:
Delhi Gangrape: All 5 chargesheeted for murder, gangrape, kidnapping, unnatural offences, dacoity,... http://t.co/U9CyLgz7",,
NewsX,"I uploaded a @YouTube video http://t.co/HPZwc3rS Meerut: Kidnapped BDM director rescued, 2 arrested - NewsX",,
NewsX,"SP MLA accused of rape, kidnapping - NewsX - The Akhilesh Yadav Government is just not able to shed the alleg… http://t.co/3Zv429Ec",,
NewsX,"http://t.co/xRsjpsMu ... SP MLA accused of rape, kidnapping - NewsX",,
NewsX,"I uploaded a @YouTube video http://t.co/sU64KZN3 SP MLA accused of rape, kidnapping",,
NewsX,"Pune police have taken into custody two persons, one of them a minor, for kidnapping a five-year old http://t.co/bkbNF1Wd",,
NewsX,"Gadhafi abducted, raped schoolgirls: Book - NewsX - Muammar Gaddafi beat and raped kidnapped schoolgirls he u… http://t.co/9HUHJyXC",,
NewsX,"Muammar Gaddafi beat and raped kidnapped schoolgirls he used as sex slaves, a new book has revealed. http://t.co/Vostd3VX",,
NewsX,A 20-year-old son of a civil contractor at Tarapur nuclear plant was allegedly kidnapped and murdere http://t.co/7oANEU4B,,
NewsX,"6-month-old Nasir kidnapped from Ajmer Dargah

A young unidentified woman allegedly kidnapped a six-month-old... http://t.co/pCGtSaVY",,
NewsX,I uploaded a @YouTube video http://t.co/AYsQkcAs 6-month-old Nasir kidnapped from Ajmer Dargah - NewsX,,
NewsX,Child kidnapper caught on camera at Ajmer Dargah - A young unidentified woman allegedly kidnapped a... http://t.co/hEpoEPva,,
NewsX,"Child kidnapper caught on camera at Ajmer Dargah

A young unidentified woman allegedly kidnapped a... http://t.co/RVpQOBYM",,
NewsX,"Girl kidnapped from Mumbai station traced in Haridwar

A three-year-old girl, kidnapped from a railway station... http://t.co/Xc38WleF",,
NewsX,I uploaded a @YouTube video http://t.co/hcw3tKwL Girl kidnapped from Mumbai station traced in Haridwar - News,,
NewsX,Kidnapped girl rescued http://t.co/ar96BUol,,
NewsX,I uploaded a @YouTube video http://t.co/qJTflbyb 23 year old engineer killed after kidnapping in Delhi- NewsX,,
NewsX,French Islamist planned Kidnapping - Some of the 16 suspected Islamic militants detained in France allegedly... http://t.co/woApOucB,,
NewsX,http://t.co/2O4ucK4L ... french islamist planned kidnapping,,
NewsX,Maoists mum on Italian's kidnapping http://t.co/6Qg0ydhO,,
NewsX,I uploaded a @YouTube video http://t.co/YZ3ATG8d Hostage crisis No trace of kidnapped Italians,,
TimesNow,"Police rescue kidnapped 43-year-old UP designer from #Gujarat

https://t.co/Nih0A6itui",,
TimesNow,"#SalmanKhan praises Mumbai Police for their efforts to rescue a kidnapped child, says ‘Heinous crime committed…’

https://t.co/8xnUvf0431",,
TimesNow,"UP: 17-year-old girl kidnapped from her home by group of men in Agra; rescued after video goes viral.

https://t.co/N61W80ID9G",,
TimesNow,"#FarooqPakFreePass

@tehseenp shares a fact-check on Rubaiyya Sayeed's kidnapping &amp; release of the terrorists: @tehseenp

@Shehzad_Ind asks @majidhyderi if he supports Farooq Abdullah's statement of Kashmiris being happier under Chinese rule.

@thenewshour | @navikakumar https://t.co/8tgSo9VD6k",,
TimesNow,"Caught On Cam: Mumbai Man Kidnapped 2-Month-Old Baby In South Mumbai

#TNShorts https://t.co/daUTUZm0CA",,
TimesNow,"Mumbai police on Thursday arrested a Wadala-based couple for allegedly kidnapping a 71-day-old baby girl from a pavement near St Xavier’s College in order to sell the infant to a childless couple.

@Aruneel_S speaks to police commissioner Vivek Phansalkar.- Listen in. https://t.co/LFb4dqxUka",,
TimesNow,"National Commission for Women forms two-member team over #Ghaziabad gangrape, kidnapping case

https://t.co/F8HolULFxp",,
TimesNow,"#Ghaziabad: Toddler kidnapped, raped and left to die near railway tracks
https://t.co/9ec2o4UYVr",,
TimesNow,"Ghaziabad: Toddler kidnapped, raped and left to die near railway tracks

#Ghaziabad #Crime 

https://t.co/9ec2o4UYVr",,
TimesNow,"Online addiction: Man fakes own kidnapping, demands ransom from kin after losing money in online game

https://t.co/uUXxT4u6jQ",,
TimesNow,"#Mumbai: Two-year-old girl kidnapped by handicapped beggar at Bandra subway 

https://t.co/3S9nX1wsve",,
TimesNow,"#Chhattisgarh : Mentally-challenged man brutally assaulted by mob on child kidnapping suspicion, video goes viral

#Crime 

https://t.co/T5ZUfMbRXW",,
TimesNow,"Sikh family kidnapping &amp; murder: #US police arrest suspect Jesus Manuel Salgado

https://t.co/3t5Ff3IcGC",,
TimesNow,"Indian-origin family kidnapped &amp; murdered in California. The family hailed from Hoshiarpur, Punjab

Bhagwant Mann-led govt demands MEA to voice the matter strictly

BJP's MS Sirsa terms it a racial hate crime attack

Siddhartha Talya https://t.co/jrrJvx5Jsk",,
TimesNow,".@prathibhatweets takes us through reactions that are pouring in from different spectrums after the death of a California-based kidnapped Indian family.

@RishabhMPratap with the latest details.

#California #Hoshiarpur https://t.co/5kUf27sdTH",,
TimesNow,"California: Kidnapped Indian family of four from Hoshiarpur, including an 8-month-old baby, found dead.

""This could be a case of hate crime"", says @mssirsa

@RishabhMPratap with the latest details.

#California #Hoshiarpur https://t.co/7y5y5pvCSB",,
